"key","R0","VE","coverage","traveller_ob_prob","worker_ob_prob","chance50","chance95"
"9_0.5_0.7",9,0.5,0.7,0.01575,0.16236,19.3866666666581,85.9616666666116
"10_0.5_0.7",10,0.5,0.7,0.01581,0.17113,18.6300000000047,80.7053333333344
"5_0.6_0.7",5,0.6,0.7,0.00633,0.08774,100.976666666684,444.016666666721
"6_0.6_0.7",6,0.6,0.7,0.00632,0.10521,81.769999999975,355.523833333335
"7_0.6_0.7",7,0.6,0.7,0.00854,0.11522,58.8566666666884,256.724666666647
"8_0.6_0.7",8,0.6,0.7,0.00914,0.12631,51.5633333333535,222.225999999978
"9_0.6_0.7",9,0.6,0.7,0.01081,0.13048,43.3933333333407,187.300666666635
"10_0.6_0.7",10,0.6,0.7,0.01261,0.14212,31.9033333333209,138.629333333331
"5_0.7_0.7",5,0.7,0.7,0.00362,0.06611,268.221666666679,1159.39116666668
"6_0.7_0.7",6,0.7,0.7,0.00391,0.07355,185.681666666671,809.996333333343
"7_0.7_0.7",7,0.7,0.7,0.00547,0.08669,147.883333333317,644.543333333335
"8_0.7_0.7",8,0.7,0.7,0.0055,0.10171,114.783333333209,481.382000000018
"9_0.7_0.7",9,0.7,0.7,0.00802,0.10485,89.0666666666512,387.35866666669
"10_0.7_0.7",10,0.7,0.7,0.00906,0.11564,69.4300000000512,301.719000000009
"5_0.8_0.7",5,0.8,0.7,0.00148,0.03838,1079.33666666644,4546.37000000011
"6_0.8_0.7",6,0.8,0.7,0.00187,0.04354,758.139999999665,3289.44766666668
"7_0.8_0.7",7,0.8,0.7,0.00181,0.05703,528.873333333293,2345.84499999997
"8_0.8_0.7",8,0.8,0.7,0.00475,0.06248,310.363333333749,1364.34999999998
"9_0.8_0.7",9,0.8,0.7,0.00379,0.07335,298.853333333391,1316.17799999998
"10_0.8_0.7",10,0.8,0.7,0.00453,0.07738,252.296666666633,1120.72466666661
"5_0.9_0.7",5,0.9,0.7,0.00071,0.0145,6352.58000000007,28800.1580000001
"6_0.9_0.7",6,0.9,0.7,0.00085,0.02125,4225.52000000002,17875.0989999998
"7_0.9_0.7",7,0.9,0.7,0.00144,0.02146,2881.99000000022,12412.8016666668
"8_0.9_0.7",8,0.9,0.7,0.00138,0.02444,3093.50000000023,13519.7438333328
"9_0.9_0.7",9,0.9,0.7,0.00157,0.03526,2344.89666666649,10082.3633333332
"10_0.9_0.7",10,0.9,0.7,0.00166,0.03767,2134.4916666667,9406.26966666675
"5_0.5_0.8",5,0.5,0.8,0.00611,0.102,64.5683333333363,280.056666666673
"6_0.5_0.8",6,0.5,0.8,0.00908,0.12049,43.2233333333206,183.869833333316
"7_0.5_0.8",7,0.5,0.8,0.00972,0.1316,33.9666666666744,149.238666666695
"8_0.5_0.8",8,0.5,0.8,0.01377,0.14014,27.4383333333681,119.110833333308
"9_0.5_0.8",9,0.5,0.8,0.0152,0.1527,20.8666666666977,89.4660000000149
"10_0.5_0.8",10,0.5,0.8,0.0151,0.16168,19.8066666667582,86.6833333333489
"5_0.6_0.8",5,0.6,0.8,0.00473,0.07789,124.055000000051,546.085833333324
"6_0.6_0.8",6,0.6,0.8,0.00578,0.09497,89.0299999999115,396.388666666669
"7_0.6_0.8",7,0.6,0.8,0.00822,0.10212,63.3299999999872,279.615166666705
"8_0.6_0.8",8,0.6,0.8,0.00853,0.11666,55.1999999999825,240.674166666606
"9_0.6_0.8",9,0.6,0.8,0.00953,0.12137,47.2666666666337,203.995499999991
"10_0.6_0.8",10,0.6,0.8,0.01129,0.13237,34.7566666666535,151.673666666669
"5_0.7_0.8",5,0.7,0.8,0.00281,0.05666,341.136666666716,1410.1166666665
"6_0.7_0.8",6,0.7,0.8,0.00305,0.06264,216.991666666581,943.96000000005
"7_0.7_0.8",7,0.7,0.8,0.00491,0.07579,167.638333333336,715.685833333337
"8_0.7_0.8",8,0.7,0.8,0.00535,0.08792,123.331666666665,538.005500000062
"9_0.7_0.8",9,0.7,0.8,0.00664,0.0906,104.69833333329,444.072500000056
"10_0.7_0.8",10,0.7,0.8,0.00852,0.10269,77.5300000000279,337.190666666673
"5_0.8_0.8",5,0.8,0.8,0.00109,0.02912,1521.57000000004,6031.26916666674
"6_0.8_0.8",6,0.8,0.8,0.00165,0.03326,932.781666666851,4219.61966666672
"7_0.8_0.8",7,0.8,0.8,0.00188,0.04383,611.383333333302,2774.02466666643
"8_0.8_0.8",8,0.8,0.8,0.00353,0.04864,410.050000000047,1694.41733333333
"9_0.8_0.8",9,0.8,0.8,0.00312,0.05864,366.39499999996,1542.65916666662
"10_0.8_0.8",10,0.8,0.8,0.00361,0.06309,319.161666666856,1363.45916666684
"5_0.9_0.8",5,0.9,0.8,0.00062,0.01125,7722.7966666671,33689.398166667
"6_0.9_0.8",6,0.9,0.8,0.00069,0.01576,6121.22166666681,24504.9740000002
"7_0.9_0.8",7,0.9,0.8,0.00094,0.01629,4363.08333333395,17707.9399999995
"8_0.9_0.8",8,0.9,0.8,0.00117,0.01665,4018.72000000021,16175.2036666661
"9_0.9_0.8",9,0.9,0.8,0.00089,0.0264,3760.0866666669,16316.0119999998
"10_0.9_0.8",10,0.9,0.8,0.00152,0.02616,3528.83999999985,14762.7086666667
"5_0.5_0.9",5,0.5,0.9,0.00566,0.09435,70.5000000000291,300.224166666609
"6_0.5_0.9",6,0.5,0.9,0.00838,0.10992,46.7200000000012,200.058666666655
"7_0.5_0.9",7,0.5,0.9,0.0093,0.12437,35.8866666666581,156.197999999998
"8_0.5_0.9",8,0.5,0.9,0.01292,0.13125,29.0299999999988,127.082000000076
"9_0.5_0.9",9,0.5,0.9,0.01354,0.14442,22.266666666721,97.1066666666884
"10_0.5_0.9",10,0.5,0.9,0.01378,0.15459,21.1566666666186,90.1470000000561
"5_0.6_0.9",5,0.6,0.9,0.00445,0.06777,138.560000000056,602.404000000004
"6_0.6_0.9",6,0.6,0.9,0.00497,0.08356,104.090000000026,450.139166666631
"7_0.6_0.9",7,0.6,0.9,0.00711,0.09339,72.2083333333321,310.496666666659
"8_0.6_0.9",8,0.6,0.9,0.00741,0.10469,62.8283333333093,270.735833333339
"9_0.6_0.9",9,0.6,0.9,0.00859,0.1083,52.9383333332953,228.041666666613
"10_0.6_0.9",10,0.6,0.9,0.01017,0.12034,38.6350000000093,169.469000000047
"5_0.7_0.9",5,0.7,0.9,0.00205,0.04166,454.41333333333,1924.21216666667
"6_0.7_0.9",6,0.7,0.9,0.00264,0.04783,272.740000000107,1212.47966666676
"7_0.7_0.9",7,0.7,0.9,0.00423,0.05987,196.289999999921,845.001666666684
"8_0.7_0.9",8,0.7,0.9,0.004,0.07197,155.113333333284,692.490833333257
"9_0.7_0.9",9,0.7,0.9,0.00524,0.07771,128.136666666716,543.713333333362
"10_0.7_0.9",10,0.7,0.9,0.00733,0.08708,91.513333333307,389.549166666695
"5_0.8_0.9",5,0.8,0.9,0.00061,0.01823,2847.79666666687,11344.4046666668
"6_0.8_0.9",6,0.8,0.9,0.00095,0.02143,1482.75500000006,6355.08599999987
"7_0.8_0.9",7,0.8,0.9,0.00086,0.03054,1026.89333333354,4400.66133333332
"8_0.8_0.9",8,0.8,0.9,0.00258,0.0334,572.556666666642,2461.48499999999
"9_0.8_0.9",9,0.8,0.9,0.00228,0.04209,512.816666666651,2154.42333333334
"10_0.8_0.9",10,0.8,0.9,0.00251,0.0438,474.481666666456,1968.91566666682
"5_0.9_0.9",5,0.9,0.9,0.00029,0.00641,15629.5899999999,68862.3516666666
"6_0.9_0.9",6,0.9,0.9,6e-04,0.00978,7664.99833333335,33098.8015000001
"7_0.9_0.9",7,0.9,0.9,0.00072,0.00999,6048.12333333306,26358.682
"8_0.9_0.9",8,0.9,0.9,6e-04,0.00986,7687.685,30450.367
"9_0.9_0.9",9,0.9,0.9,0.00078,0.01598,4890.77833333332,21290.1800000002
"10_0.9_0.9",10,0.9,0.9,0.00068,0.01687,7857.8900000006,31164.5246666665
"5_0.5_1",5,0.5,1,0.00489,0.08562,80.2566666666535,345.657333333336
"6_0.5_1",6,0.5,1,0.0078,0.09976,50.280000000028,223.136666666646
"7_0.5_1",7,0.5,1,0.00837,0.11414,39.3833333333023,172.69066666665
"8_0.5_1",8,0.5,1,0.01135,0.11899,32.2416666666686,139.614166666652
"9_0.5_1",9,0.5,1,0.01262,0.13276,24.1466666666383,105.189166666685
"10_0.5_1",10,0.5,1,0.01261,0.14036,23.5433333333349,101.489166666688
"5_0.6_1",5,0.6,1,0.00376,0.05556,168.486666666664,734.097666666692
"6_0.6_1",6,0.6,1,0.00389,0.07031,129.569999999992,583.357833333389
"7_0.6_1",7,0.6,1,0.0059,0.07682,85.7983333333541,377.423500000016
"8_0.6_1",8,0.6,1,0.00673,0.0899,71.7733333333454,307.296333333337
"9_0.6_1",9,0.6,1,0.00721,0.09538,61.2233333333334,261.686333333344
"10_0.6_1",10,0.6,1,0.00819,0.10372,46.6266666666488,196.233333333302
"5_0.7_1",5,0.7,1,0.00119,0.02781,670.30999999959,3078.85599999996
"6_0.7_1",6,0.7,1,0.00149,0.032,464.050000000047,1963.95599999995
"7_0.7_1",7,0.7,1,0.00287,0.04124,296.983333333337,1359.01016666666
"8_0.7_1",8,0.7,1,0.0027,0.05061,230.243333333172,1013.19199999997
"9_0.7_1",9,0.7,1,0.00392,0.05546,172.776666666672,744.396666666726
"10_0.7_1",10,0.7,1,0.00464,0.06447,128.791666666657,548.161500000092
"5_0.8_1",5,0.8,1,0.00038,0.00854,4710.30833333338,18925.0791666666
"6_0.8_1",6,0.8,1,0.00025,0.00903,4532.71666666667,17720.5020000001
"7_0.8_1",7,0.8,1,0.00044,0.01367,2026.40666666663,9471.34166666662
